AU06_r,AU12_r,sigmas,pis,as,bs
0.10280533709669742,0.001159718918449555,"[[  7.08644980e-03  -1.71822103e-06]
 [ -1.71822103e-06   1.00331701e-04]]",0.06613010273608856,[ 2.  2.],[   17.45424291  1722.55581105]
0.3588174687688589,0.4609057750000463,"[[ 0.006395    0.00034363]
 [ 0.00034363  0.01017617]]",0.042593146271716724,[ 12.55005003  10.79303561],[ 22.42608999  12.62397541]
0.23764881596738452,0.2640974042368816,"[[ 0.00651728  0.0001477 ]
 [ 0.0001477   0.00936607]]",0.15148443026700037,[ 6.36867553  5.21603647],[ 20.43000849  14.53439041]
0.0010623411425363183,0.0011010621098469031,"[[  1.00193290e-04   1.88574895e-09]
 [  1.88574895e-09   1.00284095e-04]]",0.18877227620633602,[ 2.  2.],[ 1880.63441932  1814.42795816]
0.13028912098532286,0.14509907247155432,"[[  6.15510344e-03   1.08343663e-05]
 [  1.08343663e-05   6.64124718e-03]]",0.3079623263872997,[ 2.26829997  2.56506396],[ 15.14144197  15.11295364]
0.10465552028645048,0.018787439426603686,"[[  5.56335064e-03   1.56571284e-05]
 [  1.56571284e-05   2.77022888e-04]]",0.03321009164820848,[ 2.  2.],[  17.11031539  104.45410237]
0.01797232497110649,0.11811926354404034,"[[  2.62257906e-04  -1.85555358e-05]
 [ -1.85555358e-05   6.10060152e-03]]",0.04988308851535211,[ 2.  2.],[ 109.28220768   14.93203919]
0.5052449373757651,0.6119443707919094,"[[ 0.00864183  0.00070419]
 [ 0.00070419  0.01029835]]",0.025390500425381664,[ 14.10940354  13.4988141 ],[ 13.81646468   8.56007678]
0.0011176147723514394,0.08566350210655482,"[[  1.00244831e-04   9.19641044e-07]
 [  9.19641044e-07   4.45801011e-03]]",0.13457403754261626,[ 2.  2.],[ 1787.52537983    21.34716596]
