AU06_r,AU12_r,sigmas,pis,as,bs
0.10428386058980459,0.018338633041088685,"[[  5.55681633e-03   1.69141879e-05]
 [  1.69141879e-05   2.67971546e-04]]",0.032338986991033485,[ 2.  2.],[  17.17842309  107.05938275]
0.35452758469470835,0.4537454812733602,"[[ 0.00646129  0.00033747]
 [ 0.00033747  0.01024086]]",0.04418178046276134,[ 12.20167896  10.52830386],[ 22.21504766  12.67480073]
0.001117134959153639,0.08565115863788861,"[[  1.00243440e-04   9.10615920e-07]
 [  9.10615920e-07   4.45689600e-03]]",0.13452843703713016,[ 2.  2.],[ 1788.29398696    21.35053059]
0.001062343624498863,0.0011010565105450476,"[[  1.00193303e-04   1.87950061e-09]
 [  1.87950061e-09   1.00284073e-04]]",0.18877217767268872,[ 2.  2.],[ 1880.63002091  1814.43719541]
0.0175556852943972,0.11795847035297574,"[[  2.54207309e-04  -1.68314911e-05]
 [ -1.68314911e-05   6.10739397e-03]]",0.04823191771524127,[ 2.  2.],[ 111.92320872   14.95511983]
0.12887520279569478,0.14385186550749252,"[[  6.15238679e-03   8.88238492e-07]
 [  8.88238492e-07   6.62347118e-03]]",0.30572787741124136,[ 2.22278987  2.53096628],[ 15.02482503  15.06328785]
0.10281616457598695,0.001158794456626876,"[[  7.08789193e-03  -1.70071957e-06]
 [ -1.70071957e-06   1.00329056e-04]]",0.0660930432963046,[ 2.  2.],[   17.4521942   1723.93162537]
0.23480794112568792,0.26016864925295513,"[[ 0.00649927  0.0001338 ]
 [ 0.0001338   0.00923777]]",0.1538391734198919,[ 6.25649022  5.16078052],[ 20.38864874  14.67550849]
0.5023442922403253,0.6105427700961849,"[[ 0.00875473  0.0007744 ]
 [ 0.0007744   0.01021726]]",0.026286605993707076,[ 13.84228787  13.59826734],[ 13.71309215   8.67415649]
