AU06_r,AU12_r,sigmas,pis,as,bs
0.001062345255846745,0.0011010482091121335,"[[  1.00193313e-04   1.87072158e-09]
 [  1.87072158e-09   1.00284040e-04]]",0.1887719315767068,[ 2.  2.],[ 1880.62712992  1814.45089057]
0.0011162124423769511,0.0856278666049985,"[[  1.00240779e-04   8.95212495e-07]
 [  8.95212495e-07   4.45482235e-03]]",0.13443804495371245,[ 2.  2.],[ 1789.77361233    21.35688228]
0.016775368983992463,0.11756145305040587,"[[  2.39595120e-04  -1.42200660e-05]
 [ -1.42200660e-05   6.10870497e-03]]",0.04511309115441834,[ 2.  2.],[ 117.22241483   15.01237904]
0.23007069822687912,0.2535921815247657,"[[ 0.00641745  0.00011122]
 [ 0.00011122  0.00905564]]",0.15745735759205345,[ 6.12047198  5.04705505],[ 20.48209855  14.85519516]
0.1038059793805667,0.01776464173785851,"[[  5.55104028e-03   1.92001287e-05]
 [  1.92001287e-05   2.56827548e-04]]",0.031164419272321518,[ 2.  2.],[  17.26671288  110.58318797]
0.4985640559073167,0.6091572150541315,"[[ 0.00891072  0.0008801 ]
 [ 0.0008801   0.0100264 ]]",0.02739412579306345,[ 13.48908843  13.85575213],[ 13.56678989   8.89002152]
0.34839773349199443,0.44209556841355524,"[[ 0.00664095  0.0003436 ]
 [ 0.0003436   0.01047019]]",0.04756721012286749,[ 11.56136917   9.97238326],[ 21.62302918  12.58469257]
0.10282789198708248,0.0011576910164745435,"[[  7.08964797e-03  -1.68197316e-06]
 [ -1.68197316e-06   1.00325913e-04]]",0.06604793533248438,[ 2.  2.],[   17.4499757   1725.57667766]
0.12636177642870122,0.14199739994764102,"[[  6.15294826e-03  -1.31866464e-05]
 [ -1.31866464e-05   6.60510432e-03]]",0.30204588420237194,[ 2.1407859  2.4772089],[ 14.8009346   14.96824365]
