AU06_r,AU12_r,sigmas,pis,as,bs
0.03235010422154559,0.043461506593855524,"[[  4.23153082e-03  -3.74785394e-05]
 [ -3.74785394e-05   4.47819781e-03]]",0.5153531104786928,[ 0.2069661   0.36000616],[ 6.19072903  7.92332741]
0.3609586100997908,0.45767075409311536,"[[ 0.00641703  0.0003184 ]
 [ 0.0003184   0.01068348]]",0.043090223215756666,[ 12.61410614  10.17534524],[ 22.33202283  12.05754849]
0.505332553376996,0.6131066409133413,"[[ 0.00866121  0.00074058]
 [ 0.00074058  0.01005892]]",0.02516370810566919,[ 14.07908638  13.84502473],[ 13.7819455    8.73673154]
0.1337358627824772,0.1555917729880106,"[[  6.10682874e-03  -7.18379408e-05]
 [ -7.18379408e-05   6.40113420e-03]]",0.27433410476731684,[ 2.40332194  3.03792192],[ 15.56733971  16.48703023]
0.2402353933562356,0.2671996907839197,"[[  6.09603618e-03   9.79456670e-05]
 [  9.79456670e-05   9.71426010e-03]]",0.14205885343256436,[ 6.95268917  5.11857051],[ 21.98846338  14.03777841]
