AU06_r,AU12_r,sigmas,pis,as,bs
0.11292013735382915,0.11046767466238692,"[[ 0.00625703  0.00031884]
 [ 0.00031884  0.00747636]]",0.4477497906748892,[ 2.  2.],[ 15.71163272  16.10484385]
0.0011847608485992629,0.0865131261643914,"[[  1.00476250e-04   2.16027794e-06]
 [  2.16027794e-06   4.54300161e-03]]",0.13838918557594954,[ 2.  2.],[ 1686.10439876    21.1178792 ]
0.0011859753355933978,0.0011013686112240839,"[[  1.00988118e-04  -4.58158287e-10]
 [ -4.58158287e-10   1.00283622e-04]]",0.1926263401028929,[ 2.  2.],[ 1684.37571118  1813.92246194]
0.2929244655607407,0.34598053266322204,"[[ 0.0152485   0.01044084]
 [ 0.01044084  0.02450553]]",0.22123468364626825,[ 3.68585556  2.84871801],[ 8.89710009  5.38503429]
