AU06_r,AU12_r,sigmas,pis,as,bs
0.22936621823197773,0.17061172435408442,"[[ 0.00364769  0.00011407]
 [ 0.00011407  0.01122704]]",0.06597102383939266,[ 10.88509612   2.        ],[ 36.57218075   9.7225238 ]
0.0011146486361343847,0.08555406729075841,"[[  1.00236356e-04   8.54295329e-07]
 [  8.54295329e-07   4.44421605e-03]]",0.13426732177625247,[ 2.  2.],[ 1792.28739709    21.37703003]
0.10299863438180006,0.0011613894460372404,"[[  7.09889330e-03  -1.42725169e-06]
 [ -1.42725169e-06   1.00336702e-04]]",0.06619657275734235,[ 2.  2.],[   17.41773318  1720.07523224]
0.2202538837108934,0.2533833151598285,"[[ 0.00786199  0.00011627]
 [ 0.00011627  0.0078394 ]]",0.09932686931942257,[ 4.59110368  5.86125799],[ 16.2534944   17.27072285]
0.015421053314860598,0.11956760129610508,"[[  2.15544318e-04  -9.08657769e-06]
 [ -9.08657769e-06   6.31555752e-03]]",0.04084470664003877,[ 2.  2.],[ 127.69282702   14.72693922]
0.11009688211130768,0.13939404152280901,"[[  4.75268568e-03   3.14137438e-05]
 [  3.14137438e-05   5.91254132e-03]]",0.25199592725530523,[ 2.15952587  2.68886106],[ 17.45525181  16.60078026]
0.5991897563526426,0.6172553183160002,"[[ 0.00493872  0.00019875]
 [ 0.00019875  0.01910871]]",0.0069139802405417585,[ 28.53839788   7.01420367],[ 19.08991615   4.34933337]
0.33365458153406263,0.4295012308829965,"[[ 0.00643141  0.00021304]
 [ 0.00021304  0.00913757]]",0.047862907510980914,[ 11.20053916  11.08785024],[ 22.36872612  14.72779229]
0.09574652355266099,0.019579109210970117,"[[  4.67877359e-03   7.69350090e-07]
 [  7.69350090e-07   2.95303228e-04]]",0.03416612317429721,[ 2.  2.],[  18.88848687  100.14969325]
0.22190196187047329,0.25342354060227107,"[[ 0.00863831  0.00012679]
 [ 0.00012679  0.00764851]]",0.039630510873955097,[ 4.21344644  6.01547857],[ 14.77442732  17.72137933]
0.458507296240882,0.6006099733991989,"[[ 0.00575885  0.00038757]
 [ 0.00038757  0.00696272]]",0.024053581378644225,[ 19.30889388  20.09143072],[ 22.80361783  13.36027939]
0.001062348622151785,0.001101008530021269,"[[  1.00193334e-04   1.83934088e-09]
 [  1.83934088e-09   1.00283885e-04]]",0.18877047523382678,[ 2.  2.],[ 1880.62116437  1814.51635338]
