AU06_r,AU12_r,sigmas,pis,as,bs
0.3602612189179302,0.4710580366361415,"[[ 0.00542541  0.00039936]
 [ 0.00039936  0.00925254]]",0.036819438925437306,[ 14.94375045  12.21410447],[ 26.53656901  13.7149818 ]
0.2508810997325599,0.2958691527983465,"[[ 0.01164559  0.00015643]
 [ 0.00015643  0.00757012]]",0.05035269565659571,[ 3.79790813  7.84648507],[ 11.34037105  18.6736337 ]
0.0011158705852932003,0.08556458988008238,"[[  1.00239919e-04   8.55993264e-07]
 [  8.55993264e-07   4.44516822e-03]]",0.13438037249609827,[ 2.  2.],[ 1790.32253844    21.37415516]
0.01649867819118506,0.12008658638419838,"[[  2.34012773e-04  -8.97523054e-06]
 [ -8.97523054e-06   6.27180831e-03]]",0.04392420464003668,[ 2.  2.],[ 119.22183225   14.65464945]
0.2427104618704863,0.24785805966821062,"[[ 0.00460198  0.00011987]
 [ 0.00011987  0.01169943]]",0.1050280211516627,[ 9.45108883  3.70163351],[ 29.48867817  11.23285566]
0.5049796409028647,0.6128741687865834,"[[ 0.00847193  0.0007509 ]
 [ 0.0007509   0.00986464]]",0.02569388738060881,[ 14.39509294  14.12767296],[ 14.11119083   8.92383366]
0.11839718881583808,0.1290684938949796,"[[  5.79880936e-03  -9.87443340e-06]
 [ -9.87443340e-06   6.21422695e-03]]",0.22532703459300105,[ 2.01276703  2.20566534],[ 14.98735818  14.88344192]
0.1027696535079361,0.0011584227458264474,"[[  7.08543110e-03  -1.75999757e-06]
 [ -1.75999757e-06   1.00328003e-04]]",0.06607560084052386,[ 2.  2.],[   17.46099779  1724.48543652]
0.10470113616344505,0.017398949272183984,"[[  5.64083412e-03   2.80402826e-05]
 [  2.80402826e-05   2.52019704e-04]]",0.028651960400356377,[ 2.  2.],[  17.10198947  112.94947015]
0.001062342443050904,0.001101031938693035,"[[  1.00193293e-04   1.89622935e-09]
 [  1.89622935e-09   1.00283967e-04]]",0.18877061937811118,[ 2.  2.],[ 1880.63211461  1814.47773304]
0.14582873598414717,0.1845716978546937,"[[  5.73967975e-03   5.52193582e-05]
 [  5.52193582e-05   6.24211340e-03]]",0.09497616453756814,[ 3.01895121  4.26567761],[ 17.68308116  18.84554508]
