AU06_r,AU12_r,sigmas,pis,as,bs
0.10265883596674359,0.001162779987579142,"[[  7.07527637e-03  -1.92994668e-06]
 [ -1.92994668e-06   1.00340537e-04]]",0.06624278041965875,[ 2.  2.],[   17.48200543  1718.01584252]
0.23667488086365362,0.26712660340704236,"[[ 0.01523046  0.00022731]
 [ 0.00022731  0.00623618]]",0.02001478269616165,[ 2.57070319  8.11866938],[  8.29104598  22.27392078]
0.001114425709456377,0.0855927633437394,"[[  1.00235687e-04   8.75227119e-07]
 [  8.75227119e-07   4.45335177e-03]]",0.13425386107949866,[ 2.  2.],[ 1792.64632145    21.36646139]
0.0010623022752624092,0.0011010660292770122,"[[  1.00193106e-04   1.90297706e-09]
 [  1.90297706e-09   1.00284111e-04]]",0.18877046721348922,[ 2.  2.],[ 1880.70330072  1814.42149228]
0.21588094752437326,0.224139910350397,"[[  5.68600019e-03   5.78067685e-05]
 [  5.78067685e-05   9.61023896e-03]]",0.16245358010593344,[ 6.21105199  3.83176359],[ 22.55967585  13.26364608]
0.11435065898757404,0.13981930749213325,"[[  5.50930477e-03  -2.49579327e-05]
 [ -2.49579327e-05   6.37313071e-03]]",0.26584809742870563,[ 2.          2.49876611],[ 15.49006099  15.37262915]
0.5776488061088481,0.6300346406580227,"[[ 0.00594437  0.00015488]
 [ 0.00015488  0.01421726]]",0.009285598468551029,[ 23.13038169   9.69934008],[ 16.91190948   5.69559133]
0.4411412947272851,0.5768576661973931,"[[ 0.00576107  0.00039801]
 [ 0.00039801  0.0079427 ]]",0.027067289943949455,[ 18.43679247  17.1509667 ],[ 23.35660273  12.58074652]
0.3182899095583636,0.39655615458275684,"[[ 0.00581758  0.00019941]
 [ 0.00019941  0.01025885]]",0.05257013436015512,[ 11.55315035   8.85356589],[ 24.74441988  13.47256823]
0.01522607954023805,0.11595639924591773,"[[  2.12941170e-04  -1.19066897e-05]
 [ -1.19066897e-05   6.06665824e-03]]",0.03867571146810062,[ 2.  2.],[ 129.35357626   15.24786224]
0.1083817329149819,0.01975818329993861,"[[  5.89129536e-03   3.57215001e-05]
 [  3.57215001e-05   2.97967659e-04]]",0.03481769681579625,[ 2.  2.],[ 16.45329417  99.22388125]
