AU06_r,AU12_r,sigmas,pis,as,bs
0.08899477966752506,0.12199327454410121,"[[ 0.00421701 -0.00027503]
 [-0.00027503  0.00682759]]",0.293212027306203,[ 2.  2.],[ 20.47322829  14.39434639]
0.0010623837390066747,0.0011013665674784391,"[[  1.00193459e-04   2.41671865e-09]
 [  2.41671865e-09   1.00285377e-04]]",0.18878318960962748,[ 2.  2.],[ 1880.55893475  1813.92583165]
0.21580020489684623,0.21885671514920677,"[[  5.80770969e-03   3.09114084e-05]
 [  3.09114084e-05   1.02207393e-02]]",0.22508495816690946,[ 6.07238798  3.44187707],[ 22.06654723  12.28474604]
0.10268786033295527,0.0012757196638822118,"[[  7.08638424e-03  -1.64729843e-06]
 [ -1.64729843e-06   1.00728981e-04]]",0.06916622324424929,[ 2.  2.],[   17.47649891  1565.74255083]
0.4936243439425809,0.6044023082459284,"[[ 0.0090449   0.00106654]
 [ 0.00106654  0.01009494]]",0.029328463327244782,[ 13.14787577  13.71095007],[ 13.48751191   8.97418842]
0.34077095809509284,0.41299675062973146,"[[ 0.00648452  0.00038349]
 [ 0.00038349  0.01206994]]",0.05618436227642147,[ 11.46470426   7.88223797],[ 22.17872687  11.20323415]
0.0011818044090620159,0.08631208388319503,"[[  1.00465662e-04   1.66761663e-06]
 [  1.66761663e-06   4.51945989e-03]]",0.13824077606934457,[ 2.  2.],[ 1690.32741447    21.17172648]
