AU12_r,sigmas,pis,as,bs
0.29361036456512885,[[0.02659815]],0.0074527482745458265,[2.],[4.81174863]
0.4669725101173629,[[0.02345258]],0.013456032865276052,[4.48914522],[5.12415133]
0.16995400536435748,[[0.01117019]],0.2029003986526917,[2.],[9.76788976]
0.017353376529680158,[[0.00024896]],0.05525207301254209,[2.],[113.25134584]
0.3539828027260467,[[0.02626217]],0.007935199978785286,[2.72833722],[4.97920451]
0.2806914963846361,[[0.02490511]],0.04876384997249083,[2.],[5.12526039]
0.3886491500603156,[[0.02600124]],0.008572058063018011,[3.16285191],[4.97521274]
0.2864414551889051,[[0.0256587]],0.042188741549090476,[2.],[4.98222958]
0.272270007656863,[[0.02380246]],0.008306681318938431,[2.],[5.34564933]
0.5947592742407912,[[0.00858182]],0.018911324324916736,[16.10907263],[10.97595711]
0.1421694404017955,[[0.00823437]],0.3262094715825023,[2.],[12.06772084]
0.001092531585104969,[[0.00010021]],0.2527047595429151,[2.],[1828.61069105]
0.2994499051865592,[[0.0273626]],0.007346660862287177,[2.],[4.67891345]
