AU06_r,AU12_r,sigmas,pis,as,bs
0.0012168157230639915,0.0011020931948689885,"[[1.01250173e-04 4.82400268e-09]
 [4.82400268e-09 1.00285204e-04]]",0.193326699761153,[2. 2.],[1641.63425134 1812.72856317]
0.0012488269455105947,0.08609345041267523,"[[1.00758329e-04 1.03240928e-06]
 [1.03240928e-06 4.44887311e-03]]",0.14054738338179712,[2. 2.],[1599.50292015   21.23057086]
0.17316045249795609,0.1889674747171766,"[[0.01635337 0.01300297]
 [0.01300297 0.02540989]]",0.6661259168570498,[2. 2.],[9.54998137 8.58383197]
