AU12_r,sigmas,pis,as,bs
0.1280842565614409,[[0.00681444]],0.11593826493945956,[2.],[13.61472154]
0.16883627526407452,[[0.01101754]],0.2935656492848771,[2.],[9.84579556]
0.18969337437391576,[[0.01341309]],0.06968197049234504,[2.],[8.54333082]
0.5697442668658594,[[0.01122755]],0.023503055181608383,[11.86971875],[8.96369624]
0.5424262786984076,[[0.01451105]],0.014115157307071259,[8.73534617],[7.36886285]
0.0010911044610697983,[[0.0001002]],0.2524635831634041,[2.],[1831.00506171]
0.45762861595930066,[[0.02621633]],0.006307071160826292,[3.87499818],[4.59256273]
0.015333822322388875,[[0.00021363]],0.04567634001077291,[2.],[128.4306231]
0.3070431980657876,[[0.02840071]],0.02382492128803076,[2.],[4.51374143]
0.05060802963834112,[[0.00128444]],0.02578148159413396,[2.],[37.51942042]
0.2627763470353949,[[0.0225999]],0.006192978944600586,[2.],[5.6110351]
0.25030944078509815,[[0.02097797]],0.04367500478202233,[2.],[5.99011014]
0.18250276375137536,[[0.01257159]],0.07927452185084775,[2.],[8.95873815]
