AU06_r,sigmas,pis,as,bs
0.1568517120161975,[[0.0097062]],0.0856540831847902,[2.],[10.75089685]
0.2388225982545376,[[0.00793478]],0.1454698902619677,[5.23262004],[16.67745079]
0.015467986966408526,[[0.00021573]],0.04924443735085918,[2.],[127.29930729]
0.2632366042505832,[[0.01822201]],0.03030999596276293,[2.53848143],[7.10486372]
0.0010737860320650155,[[0.00010016]],0.3222033467618972,[2.],[1860.56846362]
0.5271033582207643,[[0.00857149]],0.004823624326683493,[14.801468],[13.27930168]
0.2794334808783668,[[0.01819845]],0.020083766343403593,[2.81226021],[7.25188888]
0.10620992032733557,[[0.004908]],0.08945809213656594,[2.],[16.83063271]
0.2208630888656795,[[0.01715562]],0.06011839135142438,[2.],[7.05538363]
0.08195040624839149,[[0.00307165]],0.09771249460826992,[2.],[22.40500409]
0.5076194527574447,[[0.00914499]],0.010449069070141093,[13.36613834],[12.96488241]
0.16868061674714876,[[0.01098759]],0.08447280864123417,[2.],[9.85672686]
