AU06_r,AU12_r,sigmas,pis,as,bs
0.21978440977613595,0.23790463794316824,"[[6.22919274e-03 6.14792213e-05]
 [6.14792213e-05 8.72727146e-03]]",0.1512683241710784,[5.83051158 4.70448125],[20.69781035 15.07017002]
0.5909985085618142,0.676896636515916,"[[5.39598490e-03 2.33166761e-05]
 [2.33166761e-05 8.60042004e-03]]",0.005867607543826011,[25.88345083 16.53649813],[17.91268479  7.89337379]
0.001115649360433128,0.08560836826966736,"[[1.00239189e-04 8.83134287e-07]
 [8.83134287e-07 4.45291507e-03]]",0.13437655432445775,[2. 2.],[1790.67794249   21.36220209]
0.1230673652300879,0.14020193132135528,"[[ 6.10174529e-03 -2.09840631e-05]
 [-2.09840631e-05  6.63663196e-03]]",0.29302919076963035,[2.05362956 2.40637455],[14.63340649 14.75725882]
0.49299549241122426,0.4299682652423019,"[[ 1.23207818e-02 -2.11238664e-05]
 [-2.11238664e-05  1.20836862e-02]]",0.004578644122619657,[9.50837347 8.29115456],[ 9.77856448 10.99202336]
0.10387128953216555,0.01731712526134522,"[[5.57749641e-03 2.30953908e-05]
 [2.30953908e-05 2.48507268e-04]]",0.030067993102002803,[2. 2.],[ 17.25459873 113.49261034]
0.10282004729900192,0.0011570018651274063,"[[ 7.08965429e-03 -1.68966518e-06]
 [-1.68966518e-06  1.00323960e-04]]",0.06601860163730022,[2. 2.],[  17.45145964 1726.6056836 ]
0.4577394167717317,0.5948232650874742,"[[0.00580179 0.00019455]
 [0.00019455 0.00715733]]",0.023357848213845525,[19.12540166 19.43465062],[22.65688966 13.2383327 ]
0.3453225420158896,0.4752473874359384,"[[0.00478648 0.0001042 ]
 [0.0001042  0.00776576]]",0.01925515830226832,[15.9649278  14.78671313],[30.2670028  16.32700474]
0.0010623460647674228,0.0011010432978787361,"[[1.00193317e-04 1.87014348e-09]
 [1.87014348e-09 1.00284020e-04]]",0.1887717149712393,[2. 2.],[1880.6256964 1814.4589929]
0.3028272779808131,0.3619919837733517,"[[0.00682527 0.0001027 ]
 [0.0001027  0.00966099]]",0.04106168373917646,[9.06438197 8.2917214 ],[20.8681328  14.61409358]
0.016207613049295334,0.11714831064717127,"[[ 2.29702132e-04 -1.15502764e-05]
 [-1.15502764e-05  6.09503707e-03]]",0.042346679102555164,[2. 2.],[121.39879993  15.07237594]
