AU06_r,AU12_r,sigmas,pis,as,bs
0.3499392147294758,0.43493978393430677,"[[0.00649651 0.00035555]
 [0.00035555 0.01129915]]",0.049112973684268514,[11.90353601  9.02541337],[22.11247451 11.72553585]
0.0011143381132128942,0.08561912919280529,"[[1.00235371e-04 8.89185975e-07]
 [8.89185975e-07 4.45877522e-03]]",0.13426186381036845,[2. 2.],[1792.78739557   21.35926584]
0.12169796210736394,0.15994537658853927,"[[5.98803212e-03 4.02978150e-06]
 [4.02978150e-06 5.83770928e-03]]",0.24388106378410077,[2.05063494 3.52141595],[14.79956458 18.49495002]
0.11438995214949688,0.043265949333626576,"[[5.81016214e-03 4.73962853e-05]
 [4.73962853e-05 1.06785055e-03]]",0.08193878116316261,[2. 2.],[15.48405312 44.22572787]
0.0010621704319183967,0.001101125010393678,"[[1.00192471e-04 1.97300016e-09]
 [1.97300016e-09 1.00284374e-04]]",0.18876670382478603,[2. 2.],[1880.93699382 1814.32419673]
0.2275134471786198,0.2467721393850659,"[[0.00608843 0.00013394]
 [0.00013394 0.01007262]]",0.16694703477300987,[6.33997868 4.30705329],[21.52641234 13.14651055]
0.015411677160073214,0.11508533966536598,"[[ 2.15730673e-04 -1.38812750e-05]
 [-1.38812750e-05  6.04338338e-03]]",0.040270263253330996,[2. 2.],[127.77172953  15.37840811]
0.4989412812489128,0.608782217227034,"[[0.00887385 0.00089385]
 [0.00089385 0.01003594]]",0.027364031155832632,[13.55749543 13.83843595],[13.61503156  8.89290468]
0.10245865120645843,0.0012013920649907785,"[[ 7.04376520e-03 -2.49111546e-06]
 [-2.49111546e-06  1.00460721e-04]]",0.06745728455113997,[2. 2.],[  17.52006957 1662.73548335]
