AU12_r,sigmas,pis,as,bs
0.2941091895265212,[[0.02669366]],0.005260999347528452,[2.],[4.80019554]
0.2809661119330571,[[0.02497186]],0.005416982674489199,[2.],[5.11829618]
0.15883211216420706,[[0.00992391]],0.15530323439334193,[2.],[10.59191213]
0.016680238422928092,[[0.00023643]],0.05255391969528786,[2.],[117.90236286]
0.4158370342223364,[[0.02637536]],0.00571511729461385,[3.41401471],[4.79596763]
0.41401820762248004,[[0.02650325]],0.005698067568934497,[3.37584808],[4.77801574]
0.5804652860435946,[[0.00992162]],0.026983061733328647,[13.66700647],[9.87790965]
0.0010919544724789303,[[0.0001002]],0.2526115637796689,[2.],[1829.57819342]
0.3365804952170585,[[0.03029517]],0.005220089669279351,[2.14422471],[4.22639017]
0.10884466405409143,[[0.00512652]],0.1137477258008567,[2.],[16.3748098]
0.29229039838801846,[[0.02645563]],0.030436079946616873,[2.],[4.84251009]
0.3285414600729351,[[0.03054048]],0.020191300376762228,[2.0446006],[4.1786645]
0.20157735809685606,[[0.01482592]],0.0818488174831561,[2.],[7.92174924]
0.1751463405927168,[[0.01172323]],0.23377431745932786,[2.],[9.41902248]
0.3418529347998641,[[0.03012155]],0.00523872277680757,[2.21157875],[4.25780772]
