AU12_r,sigmas,pis,as,bs
0.014810733911486676,[[0.00020557]],0.041618975910355245,[2.],[133.03719748]
0.5665210175398112,[[0.01155098]],0.032892263988894374,[11.47776693],[8.78232329]
0.15018128088369692,[[0.00900773]],0.19992178180645223,[2.],[11.31723893]
0.3856034513897872,[[0.02785302]],0.0376893828212806,[2.89427951],[4.61156491]
0.0010909792224070322,[[0.0001002]],0.25243714064500944,[2.],[1831.21548103]
0.16312771299661244,[[0.0103897]],0.17971705035097899,[2.],[10.26033249]
0.03432755446494392,[[0.00065826]],0.01701614460856171,[2.],[56.26223368]
0.08038323009787095,[[0.00296142]],0.02814032213568799,[2.],[22.88081155]
0.22194233569116933,[[0.0173516]],0.09019447077733479,[2.],[7.0113497]
0.1821416068412201,[[0.01253129]],0.12037246695544473,[2.],[8.98046753]
