AU06_r,AU12_r,sigmas,pis,as,bs
0.13924523658721466,0.1544345048083604,"[[5.99339223e-03 8.96187887e-05]
 [8.96187887e-05 6.97219318e-03]]",0.3241101932103602,[2.64538433 2.73801989],[16.35263952 14.99130746]
0.2641968597328401,0.29880859045117647,"[[0.00644011 0.00065814]
 [0.00065814 0.01144282]]",0.13987321081349988,[7.71067675 5.17247987],[21.4746692 12.1378654]
0.0010623379835251892,0.0011010935279358574,"[[1.00193265e-04 1.92634331e-09]
 [1.92634331e-09 1.00284218e-04]]",0.1887732388431446,[2. 2.],[1880.6400176  1814.37612906]
0.10700022439052409,0.021007242575407238,"[[5.61036064e-03 8.78840781e-06]
 [8.78840781e-06 3.24040148e-04]]",0.037406864283046584,[2. 2.],[16.69154959 93.20526042]
0.0011210786764109047,0.08573685953784278,"[[1.00255068e-04 9.79696717e-07]
 [9.79696717e-07 4.46425526e-03]]",0.13487613719722114,[2. 2.],[1781.99611203   21.32718985]
0.4544438840648096,0.5641215569263237,"[[0.01049311 0.00264809]
 [0.00264809 0.01228971]]",0.04664401082776192,[10.28286888 10.72263129],[12.34449885  8.28502966]
0.021117727468172812,0.11918972232839002,"[[ 3.28177838e-04 -3.30354523e-05]
 [-3.30354523e-05  6.03059127e-03]]",0.06202475932493986,[2. 2.],[92.70716028 14.77997029]
0.10274857419900105,0.0011639044751399533,"[[ 7.07862867e-03 -1.80643624e-06]
 [-1.80643624e-06  1.00343808e-04]]",0.06629158550002595,[2. 2.],[  17.4649903  1716.35407692]
