AU06_r,AU12_r,sigmas,pis,as,bs
0.0011859755295839927,0.0011013686112804927,"[[ 1.00988119e-04 -4.58141647e-10]
 [-4.58141647e-10  1.00283622e-04]]",0.19262634470984724,[2. 2.],[1684.37543534 1813.92246185]
0.292925251826299,0.34598159248335536,"[[0.01524849 0.01044083]
 [0.01044083 0.02450552]]",0.22123300006464416,[3.68587468 2.84873325],[8.89711248 5.38503789]
0.0011847609821379263,0.08651312082683335,"[[1.00476250e-04 2.16026316e-06]
 [2.16026316e-06 4.54300094e-03]]",0.13838919054235502,[2. 2.],[1686.10420849   21.11788063]
0.11292042795683505,0.11046803959563563,"[[0.00625705 0.00031886]
 [0.00031886 0.00747639]]",0.4477514646831535,[2. 2.],[15.71158714 16.10478404]
