AU06_r,AU12_r,sigmas,pis,as,bs
0.0010670727884859819,0.024079979764926356,"[[1.00181613e-04 8.05238755e-07]
 [8.05238755e-07 1.59923392e-03]]",0.2959254982264567,[2. 2.],[1872.28638569   81.0565482 ]
0.09544748867995523,0.0012959453014701945,"[[ 7.13219641e-03 -2.81987275e-06]
 [-2.81987275e-06  1.00833489e-04]]",0.07471551628491571,[2. 2.],[  18.95393004 1541.27501148]
0.3274452978504641,0.3813602620102063,"[[0.01408207 0.0099696 ]
 [0.0099696  0.02554854]]",0.16396744314004474,[4.79336567 3.14026088],[9.84531048 5.09410749]
0.11736327767630193,0.14705044041036813,"[[0.00721447 0.00067704]
 [0.00067704 0.00783735]]",0.4653915423485828,[2.         2.20630064],[15.04110553 12.79739899]
