AU06_r,AU12_r,sigmas,pis,as,bs
0.016649126018428412,0.11810184719353563,"[[ 2.37057716e-04 -1.72473391e-05]
 [-1.72473391e-05  6.16238528e-03]]",0.04512555272843339,[2. 2.],[118.12642572  14.93453614]
0.0010623805231109165,0.0011010172551310623,"[[1.00193489e-04 1.81592365e-09]
 [1.81592365e-09 1.00283924e-04]]",0.18877266351180286,[2. 2.],[1880.56463338 1814.50195824]
0.12631717513524887,0.1760086455434364,"[[5.99466344e-03 5.76994374e-05]
 [5.76994374e-05 5.70693321e-03]]",0.12077564444415302,[2.19916922 4.29687774],[15.21072944 20.11600111]
0.0011159983768360834,0.0856194817621222,"[[1.00240155e-04 8.88642170e-07]
 [8.88642170e-07 4.45390092e-03]]",0.1344156691726101,[2. 2.],[1790.11730188   21.35916965]
0.09466898864390554,0.014984655391398066,"[[4.88303747e-03 1.57581481e-05]
 [1.57581481e-05 2.10204642e-04]]",0.02257548320022182,[2. 2.],[ 19.12624238 131.46986953]
0.2359135741070079,0.24291796850668204,"[[5.06056272e-03 7.52848495e-05]
 [7.52848495e-05 1.05145450e-02]]",0.1110190233241395,[8.16737994 4.00593532],[26.45284051 12.48496219]
0.10306414535560476,0.0011534472388266014,"[[ 7.10680157e-03 -1.36187409e-06]
 [-1.36187409e-06  1.00314183e-04]]",0.06585695119192513,[2. 2.],[  17.40539062 1731.93279959]
0.12422208566838931,0.11307729344134868,"[[ 5.94316453e-03 -1.89473849e-05]
 [-1.89473849e-05  5.46974456e-03]]",0.1857399050617672,[2.14969104 2.        ],[15.15553315 15.6870169 ]
0.6011767624764549,0.6299086286081361,"[[4.89701407e-03 5.82195179e-05]
 [5.82195179e-05 1.61953409e-02]]",0.006531886890482792,[28.83310708  8.43730777],[19.12800666  4.9571869 ]
0.27176705932201195,0.3163817323880931,"[[0.01322741 0.00013629]
 [0.00013629 0.0077946 ]]",0.020472586409313206,[3.7944369  8.46256599],[10.1676559  18.28539422]
0.3427952472605158,0.4453194064624283,"[[0.00566452 0.00016701]
 [0.00016701 0.0092543 ]]",0.039210003982853764,[13.29069887 11.44087046],[25.48083888 14.25051037]
0.46282046273834593,0.6005246281918666,"[[0.00552764 0.00027357]
 [0.00027357 0.00724856]]",0.0232160593614717,[20.35354372 19.27414035],[23.62364692 12.82136322]
0.20545398219954777,0.26248275801628207,"[[8.49681296e-03 8.19449435e-05]
 [8.19449435e-05 7.07193327e-03]]",0.03336741639365655,[3.74177321 6.92266305],[14.47044721 19.45111899]
0.23244869746867494,0.2558777410024891,"[[0.01607489 0.00016079]
 [0.00016079 0.00692238]]",0.0029211543271688177,[2.34751528 6.78219308],[ 7.75155304 19.72340703]
