AU06_r,sigmas,pis,as,bs
0.21145509902128698,[[0.01598338]],0.03140213131688277,[2.],[7.45827275]
0.014994191775030714,[[0.00020796]],0.04689366754017022,[2.],[131.384982]
0.19069504760533726,[[0.01348384]],0.07636319852329883,[2.],[8.48794935]
0.001073555968029616,[[0.00010016]],0.32214828552745384,[2.],[1860.96761376]
0.24973978524611987,[[0.01782889]],0.013777275163381997,[2.37485956],[7.13447656]
0.08134584907666832,[[0.00302846]],0.16987846612777227,[2.],[22.58638053]
0.22622814167327843,[[0.00748657]],0.08806740284043064,[5.0633765],[17.31835049]
0.5301616121075082,[[0.00830266]],0.013101381120585169,[15.37534778],[13.62589906]
0.2163574109496945,[[0.01024605]],0.07876525543687084,[3.3638263],[12.18371739]
0.20033987315304078,[[0.01463277]],0.039163138549216575,[2.],[7.98303517]
0.20089936217579937,[[0.01470013]],0.05719035742534408,[2.],[7.9552332]
0.19722590530758957,[[0.01425921]],0.04119165498962514,[2.],[8.1406557]
0.22107646966868896,[[0.01716941]],0.022057785438967623,[2.],[7.04664347]
