AU06_r,sigmas,pis,as,bs
0.0694119186642211,[[0.00226296]],0.105966496399754,[2.],[26.81349541]
0.2364050256034031,[[0.00879378]],0.11512532447192594,[4.61648931],[14.91139212]
0.15933224845778118,[[0.00996434]],0.09015290750029634,[2.],[10.55238672]
0.5225648648737675,[[0.00877536]],0.008450128709986598,[14.33439623],[13.09644958]
0.01483987071073184,[[0.00020568]],0.04582242024404952,[2.],[132.77206365]
0.5160752610204746,[[0.00897772]],0.007702316860585018,[13.84006431],[12.97785423]
0.18008767937359893,[[0.01226465]],0.08493180732183016,[2.],[9.10570144]
0.17018742296505543,[[0.0111479]],0.08830764405094879,[2.],[9.75174972]
0.18524056407600373,[[0.01285876]],0.08265504062867723,[2.],[8.79677127]
0.001073527737253875,[[0.00010016]],0.32214008296063146,[2.],[1861.0166046]
0.2556782344329788,[[0.01800099]],0.018783862434791104,[2.4473582],[7.12466582]
0.2325402858263258,[[0.01800189]],0.029961968416523748,[2.0727942],[6.84090517]
