AU06_r,AU12_r,sigmas,pis,as,bs
0.0010621982558944546,0.0011011119885788142,"[[1.00192579e-04 2.05717070e-09]
 [2.05717070e-09 1.00284308e-04]]",0.18876623564880873,[2. 2.],[1880.88767083 1814.34567668]
0.1156088585301507,0.05249631781690704,"[[5.74956239e-03 5.98078685e-06]
 [5.98078685e-06 1.50551292e-03]]",0.09977993988127223,[2. 2.],[15.29971237 36.09791016]
0.5424613230395896,0.6207290437951587,"[[0.00721316 0.00025438]
 [0.00025438 0.01258049]]",0.015901988906401564,[18.12304366 10.99526302],[15.28587029  6.71820331]
0.26548992821489337,0.3136788758187399,"[[0.00658858 0.00025704]
 [0.00025704 0.01023452]]",0.11369402586219056,[7.59233411 6.28459848],[21.00511273 13.75053607]
0.0011198987531727562,0.08561993921239353,"[[1.00251787e-04 8.89713141e-07]
 [8.89713141e-07 4.44735850e-03]]",0.13474595762565444,[2. 2.],[1783.87572701   21.35904485]
0.01983172719626553,0.12338084934392812,"[[ 2.99629104e-04 -4.05623170e-06]
 [-4.05623170e-06  6.29719707e-03]]",0.05705039544909304,[2. 2.],[98.84850302 14.20997108]
0.15056480356114246,0.17571902957749477,"[[0.0069208  0.00011033]
 [0.00011033 0.00619394]]",0.2886742177987334,[2.63184408 3.93337544],[14.84796542 18.45108373]
0.10245912557601836,0.0012116447110644838,"[[ 7.03753757e-03 -2.52692602e-06]
 [-2.52692602e-06  1.00495088e-04]]",0.06772759380077387,[2. 2.],[  17.5199792  1648.64889215]
0.4018119035746058,0.5295881946309693,"[[0.00595693 0.00056021]
 [0.00056021 0.00932496]]",0.03365964502707216,[15.81108358 13.61883272],[23.53838178 12.09705909]
