AU06_r,AU12_r,sigmas,pis,as,bs
0.016535562973744165,0.11716608804467042,"[[ 2.35195677e-04 -1.47886078e-05]
 [-1.47886078e-05  6.07858260e-03]]",0.044383151309584735,[2. 2.],[118.95143075  15.06978558]
0.6010062187951555,0.6125062355729852,"[[0.00484502 0.00031344]
 [0.00031344 0.02044629]]",0.006745856174129838,[29.14501476  6.4975209 ],[19.34868439  4.11056849]
0.34161297683220515,0.4283675400901739,"[[0.00653994 0.00017941]
 [0.00017941 0.01020998]]",0.04871152575982089,[11.40671952  9.84529295],[21.98404808 13.13799133]
0.4623750725432774,0.6050205121202481,"[[0.00567399 0.00040033]
 [0.00040033 0.0067362 ]]",0.022778897406140242,[19.7948534  20.85843875],[23.01639352 13.61715064]
0.1077367230374994,0.02245707114945995,"[[5.73383650e-03 2.67925197e-05]
 [2.67925197e-05 3.62659384e-04]]",0.03943289269730589,[2. 2.],[16.56377235 87.05880855]
0.22882675050308932,0.2496625370984386,"[[6.21939310e-03 7.84485907e-05]
 [7.84485907e-05 9.30322901e-03]]",0.1562135778778231,[6.26375663 4.77757814],[21.10960166 14.35856538]
0.12539617131191375,0.1456015988930348,"[[ 6.07816924e-03 -7.95739166e-06]
 [-7.95739166e-06  6.49483537e-03]]",0.2920891373198898,[2.13720047 2.64324463],[14.90638588 15.51070867]
0.00111581895713784,0.08562779373151636,"[[1.00239622e-04 8.97485568e-07]
 [8.97485568e-07 4.45547604e-03]]",0.13440462281798962,[2. 2.],[1790.40546794   21.35690216]
0.10267440004463707,0.00116889598330388,"[[ 7.07340406e-03 -1.94822044e-06]
 [-1.94822044e-06  1.00358514e-04]]",0.06646999210144494,[2. 2.],[  17.47905222 1709.01623119]
0.0010622887064894477,0.0011010789396804414,"[[1.00193037e-04 1.91836932e-09]
 [1.91836932e-09 1.00284166e-04]]",0.18877034653587094,[2. 2.],[1880.72734877 1814.40019432]
