AU06_r,AU12_r,sigmas,pis,as,bs
0.30647138256137507,0.38503543264753043,"[[0.00650409 0.0001572 ]
 [0.0001572  0.0096265 ]]",0.02907712982968096,[9.70868409 9.08568419],[21.9702414  14.51132383]
0.21273746173276462,0.24425616656982763,"[[7.76455461e-03 9.87163828e-05]
 [9.87163828e-05 7.84949239e-03]]",0.14675770335388222,[4.37597647 5.49987189],[16.19386785 17.0169471 ]
0.22668241859823707,0.15571168192999985,"[[3.62068778e-03 9.97850772e-05]
 [9.97850772e-05 9.66169686e-03]]",0.05823855487075956,[10.7482659  2.       ],[36.66725915 10.84425147]
0.0010417397601176787,0.0011007221256885752,"[[1.00106834e-04 1.59334793e-09]
 [1.59334793e-09 1.00283501e-04]]",0.18757547405498387,[2. 2.],[1917.8652836  1814.98900506]
0.12534332468345596,0.0011440559662643853,"[[ 6.76343688e-03 -8.28411088e-07]
 [-8.28411088e-07  1.00297842e-04]]",0.05159310173819275,[2. 2.],[  13.95617481 1746.16622523]
0.108074723237125,0.14767619570950094,"[[4.82480734e-03 1.56725123e-05]
 [1.56725123e-05 5.64701511e-03]]",0.21247915328630504,[2.05114461 3.14392082],[16.92780392 18.14536555]
0.32581877735792913,0.42551908686918016,"[[0.00549389 0.0001592 ]
 [0.0001592  0.00888828]]",0.023346890969058006,[12.70130833 11.27744722],[26.28143058 15.22535269]
0.10218685628019726,0.05899760852490947,"[[4.55629038e-03 2.21179200e-06]
 [2.21179200e-06 1.69375801e-03]]",0.045206365668344066,[2. 2.],[17.57198874 31.89967916]
0.0935666695176979,0.014827436351110416,"[[4.53009091e-03 7.94032288e-06]
 [7.94032288e-06 2.07480027e-04]]",0.021861039547038004,[2. 2.],[ 19.37513294 132.88508415]
0.576941766817259,0.6764438827411279,"[[0.00604407 0.0001335 ]
 [0.0001335  0.00784133]]",0.0070944152680401055,[22.7219184  18.20448733],[16.6614643   8.70755637]
0.44418135925186014,0.581933956908936,"[[0.00615961 0.00028216]
 [0.00028216 0.00716106]]",0.026112472421755958,[17.35911271 19.1884344 ],[21.72202465 13.78512587]
0.014749512182206841,0.12070934472142383,"[[ 2.04830046e-04 -4.97395793e-06]
 [-4.97395793e-06  6.40373493e-03]]",0.037349831523642636,[2. 2.],[133.59770488  14.56872552]
0.5188422736874504,0.4337858915484826,"[[ 1.11167256e-02 -8.36851029e-05]
 [-8.36851029e-05  1.16924248e-02]]",0.0034856508818578887,[11.13264284  8.6784918 ],[10.32405683 11.32790299]
0.0011142904315538655,0.08550182090491953,"[[1.00235386e-04 8.25782163e-07]
 [8.25782163e-07 4.43766079e-03]]",0.13421204201215758,[2. 2.],[1792.86419641   21.3913147 ]
0.020833823592347762,0.0012066251475558536,"[[3.31141658e-04 7.00995833e-08]
 [7.00995833e-08 1.00440471e-04]]",0.015610174574301316,[2. 2.],[  93.99774094 1655.5155955 ]
