AU06_r,AU12_r,sigmas,pis,as,bs
0.0012124259517535642,0.08619082267492251,"[[1.00592525e-04 1.28965834e-06]
 [1.28965834e-06 4.49082235e-03]]",0.13937735929712997,[2. 2.],[1647.58527744   21.20432661]
0.13076894495949704,0.1489215667245379,"[[0.00742716 0.00139806]
 [0.00139806 0.00842674]]",0.4608693221372631,[2.         2.09096056],[13.29415107 11.94972276]
0.3400444865847677,0.4052742934963858,"[[0.01432538 0.00966437]
 [0.00966437 0.0241244 ]]",0.14124772665902935,[4.98692353 3.64382322],[9.67857974 5.34718184]
0.0010620984982974114,0.0011012719505818576,"[[1.00192210e-04 2.44308527e-09]
 [2.44308527e-09 1.00285041e-04]]",0.18876506798957904,[2. 2.],[1881.06452105 1814.08184876]
0.10166327376033625,0.001305130742694292,"[[ 6.98281225e-03 -5.11121316e-06]
 [-5.11121316e-06  1.00846774e-04]]",0.06974052391699827,[2. 2.],[  17.67278768 1530.41352347]
