AU06_r,AU12_r,sigmas,pis,as,bs
0.10655944260123798,0.13449347851109514,"[[4.83444390e-03 2.00134259e-05]
 [2.00134259e-05 5.90662771e-03]]",0.02084175174830536,[2.         2.51603941],[16.76886695 16.1914804 ]
0.12144881322944596,0.13795543415175576,"[[4.98467465e-03 3.62192139e-05]
 [3.62192139e-05 6.31145103e-03]]",0.11584530077717976,[2.47821269 2.46147456],[17.92719618 15.3810597 ]
0.001114995242798237,0.0855101376682005,"[[1.00237483e-04 8.23930928e-07]
 [8.23930928e-07 4.43699152e-03]]",0.1342765933004651,[2. 2.],[1791.72962613   21.38903965]
0.2298579647211629,0.16559436367391447,"[[3.61286507e-03 8.60929666e-05]
 [8.60929666e-05 1.06744885e-02]]",0.0635868403370237,[11.0327301  2.       ],[36.96530256 10.07770576]
0.09486019317417996,0.01652487785043998,"[[4.71441190e-03 8.89690536e-06]
 [8.89690536e-06 2.34931864e-04]]",0.028073376280699835,[2. 2.],[ 19.08365936 119.02963895]
0.0977356516381418,0.12544636224391992,"[[4.16316244e-03 8.13102229e-06]
 [8.13102229e-06 5.84064594e-03]]",0.028853713526531443,[2.         2.23091403],[18.4633618  15.55289406]
0.08982702813193737,0.12910599215515497,"[[ 3.58468192e-03 -7.64497997e-07]
 [-7.64497997e-07  5.62784115e-03]]",0.0744169977046686,[2.         2.45027961],[20.26501357 16.52854212]
0.20073135959616242,0.2331185829431283,"[[7.89149011e-03 7.91941966e-05]
 [7.91941966e-05 7.16303038e-03]]",0.1370029951435479,[3.88024622 5.58503538],[15.45029701 18.37288043]
0.10306864213196226,0.0011552105495501836,"[[ 7.10662433e-03 -1.33003321e-06]
 [-1.33003321e-06  1.00319166e-04]]",0.06594158448731502,[2. 2.],[  17.40454399 1729.28612856]
0.47831544364059464,0.41875921028411034,"[[ 0.0148752  -0.00010923]
 [-0.00010923  0.01035582]]",0.003986434460779988,[7.54537086 9.42362261],[ 8.2295136  13.08005583]
0.5546854850994064,0.6642657633449065,"[[0.00700032 0.00034321]
 [0.00034321 0.00771354]]",0.010229125538002102,[19.01763663 18.54124623],[15.26780465  9.37114555]
0.0010623822216511796,0.0011009739447640627,"[[1.00193495e-04 1.82514954e-09]
 [1.82514954e-09 1.00283741e-04]]",0.1887703822443847,[2. 2.],[1880.56162353 1814.57341621]
0.015560402959425273,0.12162150806578167,"[[ 2.17824643e-04 -2.06794701e-06]
 [-2.06794701e-06  6.43852545e-03]]",0.04080323305323265,[2. 2.],[126.53137578  14.4444598 ]
0.4269500947759143,0.5626417322295082,"[[0.00633608 0.00034405]
 [0.00034405 0.00734317]]",0.027816151544153116,[16.05946589 18.29197199],[21.55492063 14.21889762]
0.30130323663145725,0.3761662691791344,"[[0.00629012 0.00017893]
 [0.00017893 0.00971439]]",0.05955551985371063,[9.78280381 8.71067323],[22.68549597 14.44577099]
