AU06_r,AU12_r,sigmas,pis,as,bs
0.10231220504186889,0.0012672076401964549,"[[ 7.00415054e-03 -3.12057099e-06]
 [-3.12057099e-06  1.00699109e-04]]",0.0689515769725932,[2. 2.],[  17.54800993 1576.27331256]
0.001062060890977393,0.001101200275715611,"[[1.00191950e-04 1.96848272e-09]
 [1.96848272e-09 1.00284747e-04]]",0.18876586233383688,[2. 2.],[1881.13119991 1814.2000538 ]
0.13148166390862134,0.13948267996928845,"[[5.63188970e-03 8.41758753e-05]
 [8.41758753e-05 7.79878426e-03]]",0.3357304429645277,[2.53448819 2.00722681],[16.74187412 12.38328253]
0.25567728229091086,0.2819172189935798,"[[0.00641866 0.00075693]
 [0.00075693 0.01123593]]",0.15889200112198956,[7.32487742 4.79744088],[21.32404029 12.21975621]
0.44856451090001165,0.5573479854396577,"[[0.01074382 0.0029679 ]
 [0.0029679  0.01276579]]",0.049600895400327964,[ 9.87871347 10.21393722],[12.1442358   8.11202338]
0.021126486542556663,0.11155964653536288,"[[ 3.29209848e-04 -5.28027509e-05]
 [-5.28027509e-05  6.05835102e-03]]",0.06316739465084041,[2. 2.],[92.66789454 15.92762941]
0.001120749899473848,0.08584134805802678,"[[1.00253977e-04 1.03946552e-06]
 [1.03946552e-06 4.48922060e-03]]",0.13489182655588436,[2. 2.],[1782.51945518   21.29879534]
