AU12_r,sigmas,pis,as,bs
0.017351158850301654,[[0.00024891]],0.055254643093395985,[2.],[113.2660763]
0.15852161752104055,[[0.00992733]],0.1322692109693822,[2.],[10.61657578]
0.29131308819611174,[[0.02629205]],0.036783281586377496,[2.],[4.86546565]
0.33230625624390014,[[0.02722334]],0.025058248165561882,[2.37609443],[4.77422064]
0.36734580712696385,[[0.02621455]],0.019282860474195918,[2.88932774],[4.97608868]
0.39703118858039793,[[0.02597731]],0.01588407352101859,[3.26186338],[4.95377175]
0.0010925283512491157,[[0.00010021]],0.2527042999854907,[2.],[1828.61610961]
0.5941159469729467,[[0.00869286]],0.0194996661661347,[15.88681691],[10.85344648]
0.16976969924866353,[[0.0111508]],0.1201536791248551,[2.],[9.78066527]
0.15298007426401258,[[0.00934193]],0.13762403649696994,[2.],[11.07359805]
0.1352809557577768,[[0.00755575]],0.15151409133188545,[2.],[12.78404694]
0.2949619358965516,[[0.02676966]],0.033971909084732,[2.],[4.78053592]
