AU12_r,sigmas,pis,as,bs
0.12719548147673254,[[0.00677039]],0.1265929698168918,[2.],[13.723829]
0.1483420394786094,[[0.0088432]],0.115297089511268,[2.],[11.48235475]
0.27680689285353605,[[0.02441695]],0.04320102568116542,[2.],[5.2252536]
0.20893101583172552,[[0.0157206]],0.07197263293474476,[2.],[7.57253758]
0.15854338814178276,[[0.00991161]],0.10915904485182495,[2.],[10.61484331]
0.2870049255363787,[[0.02575797]],0.03728817817974543,[2.],[4.96852152]
0.001092334298135719,[[0.00010021]],0.25267330808196103,[2.],[1828.94131843]
0.3219340471408405,[[0.03033452]],0.026257972331396144,[2.],[4.21245257]
0.3055956769923644,[[0.02820105]],0.02936529760575315,[2.],[4.5445952]
0.1572516305356093,[[0.00977402]],0.1099346681494762,[2.],[10.71846908]
0.5890153875788187,[[0.00943001]],0.023866055502761,[14.5315005],[10.13933291]
0.017131769136477355,[[0.00024475]],0.05439175735301212,[2.],[114.74217555]
