AU12_r,sigmas,pis,as,bs
0.15415198844144948,[[0.00949232]],0.276177790665602,[2.],[10.97420825]
0.5913647648796274,[[0.00926023]],0.019055274847036504,[14.8407309],[10.25499983]
0.45776483797132683,[[0.02311909]],0.012357410152917974,[4.45699029],[5.27942876]
0.0010927874258417328,[[0.00010021]],0.25274501547640765,[2.],[1828.18211292]
0.40061162247474913,[[0.02329057]],0.012271569742942329,[3.7296288],[5.58020794]
0.296646331513737,[[0.0269671]],0.009248731108746779,[2.],[4.74203517]
0.3859256884477839,[[0.02286512]],0.021231747569513338,[3.61402752],[5.75054092]
0.017634072614229408,[[0.0002544]],0.056310460873702325,[2.],[111.41679507]
0.1544014685297247,[[0.00951855]],0.27569684064568983,[2.],[10.95324467]
0.2930400906455648,[[0.02649539]],0.055135130539218084,[2.],[4.82500471]
0.29099726426168543,[[0.02622813]],0.009770028378223336,[2.],[4.87291685]
