AU06_r,sigmas,pis,as,bs
0.0010741209348044925,[[0.00010017]],0.3222802557952381,[2.],[1859.98772894]
0.5173071472199892,[[0.00617026]],0.011237226464566387,[20.41727288],[19.0511029]
0.24504757364908425,[[0.00470385]],0.05305383078090398,[9.39251685],[28.9368439]
0.016125283980403502,[[0.00022681]],0.05244733002843446,[2.],[122.02882346]
0.19842594701431449,[[0.01440868]],0.08586914976864055,[2.],[8.07932697]
0.19753559781358512,[[0.01430286]],0.08740429165311467,[2.],[8.12475737]
0.09300233482341866,[[0.00386937]],0.1596655224992493,[2.],[19.50483645]
0.6738726982910946,[[0.00146081]],0.001285787412859861,[100.70509709],[48.73721946]
0.24689084641787865,[[0.01414182]],0.03515023368435138,[2.99921429],[9.14872206]
0.17720893416890282,[[0.01194119]],0.12028707255783444,[2.],[9.28611269]
0.20574118945081366,[[0.01528404]],0.053827302309474655,[2.],[7.7209509]
0.2735021311543017,[[0.01603984]],0.006330156721253614,[3.11459497],[8.27323208]
0.26266745345712106,[[0.01504355]],0.011161840324078503,[3.11895956],[8.75521639]
