AU06_r,sigmas,pis,as,bs
0.1644029253338854,[[0.0105648]],0.15887710591932813,[2.],[10.16523365]
0.019868222928705756,[[0.00030089]],0.06819282143827127,[2.],[98.66325545]
0.0010765780546355033,[[0.00010017]],0.32277264360559943,[2.],[1855.73803524]
0.13927981550587365,[[0.00801353]],0.17751434527582646,[2.],[12.35958249]
0.23199371702756788,[[0.01860245]],0.051915365056245937,[2.],[6.62092313]
0.2855702055479047,[[0.02170422]],0.02322436916093117,[2.39879258],[6.0012174]
0.3362494436386664,[[0.02188027]],0.008167131421764564,[3.09360235],[6.10671726]
0.3628418013422382,[[0.02162419]],0.006072662766346442,[3.51635765],[6.17480151]
0.3664127230087002,[[0.02155993]],0.005758022126923862,[3.57906958],[6.18879424]
0.3539497155014853,[[0.02175215]],0.006636723620821902,[3.36694348],[6.14554751]
0.19329504112872528,[[0.01382136]],0.12718443217601974,[2.],[8.34687692]
0.24132669468195178,[[0.01978708]],0.04368437743192106,[2.],[6.28752079]
