AU12_r,sigmas,pis,as,bs
0.2881496262969362,[[0.02591936]],0.08632009968596438,[2.],[4.94083843]
0.014604126706438226,[[0.0002023]],0.0411220179610795,[2.],[134.94759298]
0.14746957879566489,[[0.00873089]],0.3004718269387072,[2.],[11.56211916]
0.04093084763164253,[[0.00088567]],0.02803521394023375,[2.],[46.86290208]
0.17868623580748122,[[0.01213508]],0.24629280983098698,[2.],[9.19280392]
0.5640111812524998,[[0.01223948]],0.03471932651364657,[10.76749555],[8.32343014]
0.0010908262431090546,[[0.0001002]],0.2524085672933164,[2.],[1831.47257424]
0.3190206775282821,[[0.02996538]],0.010630137836065402,[2.],[4.26918611]
