AU06_r,sigmas,pis,as,bs
0.5247250148618335,[[0.00850334]],0.013289919662492782,[14.86457602],[13.46373996]
0.0831104756505024,[[0.00314896]],0.1491320199153625,[2.],[22.06435512]
0.1798237579786946,[[0.01223896]],0.12800364168099676,[2.],[9.12200091]
0.21891861384396913,[[0.01691915]],0.02825590367775622,[2.],[7.1358152]
0.3467296707331852,[[0.01798641]],0.005749882383208405,[4.01974013],[7.5735571]
0.20749128125431338,[[0.01551724]],0.042210198992505304,[2.],[7.63895923]
0.23455396706936102,[[0.0073834]],0.10895095489973708,[5.46897889],[17.84752671]
0.015294852045472153,[[0.00021285]],0.048423603222726236,[2.],[128.76295175]
0.2686665312641306,[[0.01854993]],0.012783049509268127,[2.57710668],[7.01510665]
0.2672657563827555,[[0.01854952]],0.013096692845814066,[2.55436626],[7.00303567]
0.0010736951072697972,[[0.00010016]],0.3221820190484687,[2.],[1860.72619337]
0.17868363208187288,[[0.01210854]],0.12792211416166374,[2.],[9.19296701]
