AU06_r,AU12_r,sigmas,pis,as,bs
0.0010623839320574127,0.0011013664743549686,"[[1.00193460e-04 2.41653816e-09]
 [2.41653816e-09 1.00285377e-04]]",0.1887831960230582,[2. 2.],[1880.55859266 1813.92598519]
0.1026887799793422,0.0012757509321734228,"[[ 7.08645445e-03 -1.64404350e-06]
 [-1.64404350e-06  1.00729108e-04]]",0.06916678254068274,[2. 2.],[  17.47632449 1565.70412591]
0.21576695715569366,0.2188007582537619,"[[5.80658416e-03 3.08397295e-05]
 [3.08397295e-05 1.02221525e-02]]",0.22516424840256072,[6.07196885 3.43981755],[22.06935979 12.28141475]
0.0011817781132859222,0.0863119440961336,"[[1.00465560e-04 1.66734514e-06]
 [1.66734514e-06 4.51945330e-03]]",0.138239673361877,[2. 2.],[1690.36507049   21.17176401]
0.08895944922829785,0.12198842998497324,"[[ 0.00421381 -0.00027494]
 [-0.00027494  0.0068274 ]]",0.2930977493971381,[2. 2.],[20.48215358 14.39499746]
0.4936020422482336,0.604378634248112,"[[0.00904553 0.0010673 ]
 [0.0010673  0.01009598]]",0.029337634487843288,[13.14632542 13.70924641],[13.4871248   8.97396182]
0.34073415507768584,0.41290756029014697,"[[0.00648384 0.00038374]
 [0.00038374 0.01207319]]",0.05621071578683996,[11.46410166  7.87777164],[22.18119479 11.20100627]
