AU06_r,sigmas,pis,as,bs
0.5119900760350082,[[0.00926973]],0.015042253092248686,[13.2881896],[12.66580878]
0.001073526077519238,[[0.00010016]],0.32213700770557163,[2.],[1861.01948493]
0.014676535909269024,[[0.00020327]],0.04433350135222405,[2.],[134.27193858]
0.25079441530353086,[[0.00713022]],0.0898642655628512,[6.35817725],[18.9939712]
0.17315792986039832,[[0.01150513]],0.09394529480077486,[2.],[9.55014963]
0.21946334826422728,[[0.01699733]],0.04160784592049857,[2.],[7.11313901]
0.21666202126436512,[[0.01665274]],0.04692538577628717,[2.],[7.23096715]
0.36078772626643046,[[0.01718237]],0.010052471641703304,[4.48166738],[7.94022796]
0.050593333946658194,[[0.00127742]],0.0444545505547036,[2.],[37.53089951]
0.20338528599216468,[[0.01503523]],0.06229913360180259,[2.],[7.83355305]
0.14020872299127546,[[0.00801228]],0.11450565893358819,[2.],[12.26444773]
0.12500760390848237,[[0.00655548]],0.11483263105774592,[2.],[13.99902676]
