AU12_r,sigmas,pis,as,bs
0.17074653946760407,[[0.01122462]],0.14005602061984032,[2.],[9.71326814]
0.01569600505764945,[[0.00021937]],0.04801706498274496,[2.],[125.42095792]
0.16713710624225628,[[0.01082233]],0.16269483827247966,[2.],[9.96622369]
0.0010912460167759994,[[0.0001002]],0.25249053793845055,[2.],[1830.76728552]
0.5217762906016179,[[0.01640106]],0.01802352299782042,[7.41652938],[6.79747289]
0.46000567098249523,[[0.02413756]],0.0053648324556482795,[4.27392782],[5.01710507]
0.07121637164115133,[[0.00238247]],0.04997618194542811,[2.],[26.08343017]
0.20169450629446667,[[0.01484616]],0.07008233164034185,[2.],[7.91598649]
0.3953681241994535,[[0.03258908]],0.004671044751089655,[2.50479415],[3.83055258]
0.16247531557687703,[[0.01030982]],0.1802428791683397,[2.],[10.30956218]
0.5684463853004229,[[0.01132505]],0.024755721033460156,[11.74483086],[8.91645077]
0.2586412295872524,[[0.02206231]],0.04362502419435632,[2.],[5.73271919]
