AU06_r,sigmas,pis,as,bs
0.2266922280930394,[[0.01793121]],0.1187075161395251,[2.],[6.82253449]
0.29665838167540726,[[0.02114699]],0.025255615915665403,[2.63039706],[6.23635749]
0.0010912533808936176,[[0.00010021]],0.301981450730649,[2.],[1830.75491743]
0.24933125461113878,[[0.00534203]],0.07210065208548919,[8.48632244],[25.5500139]
0.21484838742098653,[[0.01645675]],0.1579932797415311,[2.],[7.30888998]
0.10916617501074727,[[0.00516298]],0.26510933404857945,[2.],[16.3206932]
0.015768264953240026,[[0.00022291]],0.058852151338560886,[2.],[124.83703666]
