AU06_r,sigmas,pis,as,bs
0.18443316646906147,[[0.01278293]],0.10877488057033353,[2.],[8.84403656]
0.2210071515228412,[[0.01717807]],0.0501246615691866,[2.],[7.04948092]
0.521223812894139,[[0.00912232]],0.013149421711467471,[13.73734045],[12.61859362]
0.2471125869038983,[[0.0048941]],0.06039011311983854,[9.14681192],[27.86794332]
0.0010742926836762175,[[0.00010017]],0.32231795323201495,[2.],[1859.69005001]
0.21296262048092346,[[0.0161896]],0.06466641537135405,[2.],[7.39131945]
0.17903401653147125,[[0.01216238]],0.11454926465060958,[2.],[9.17106145]
0.016413844902049186,[[0.00023193]],0.05375141388173165,[2.],[119.84835497]
0.09904618595231308,[[0.00433836]],0.17552522781204924,[2.],[18.19259985]
0.27067535249408176,[[0.01484439]],0.03675064808141454,[3.32893819],[8.96969987]
