AU06_r,sigmas,pis,as,bs
0.1266013183846045,[[0.00670211]],0.15457247677714,[2.],[13.7976238]
0.47108051281805974,[[0.01195437]],0.007483472450893484,[9.34760017],[10.49529275]
0.4751946410433548,[[0.01165128]],0.007212475013111037,[9.69589952],[10.70815953]
0.00107397049986831,[[0.00010016]],0.3222467606146883,[2.],[1860.2485443]
0.24222204949197967,[[0.00690839]],0.15625394551729221,[6.1934275],[19.37578684]
0.43181099200481204,[[0.01461411]],0.007633450092052833,[6.81768313],[8.97089857]
0.2153038585249883,[[0.01648669]],0.08629079647124087,[2.],[7.2891972]
0.4155308172178338,[[0.01553737]],0.007775325517788241,[6.07964208],[8.55138365]
0.10207481966925029,[[0.00457451]],0.17160760602075598,[2.],[17.59347081]
0.01589259635147939,[[0.00022274]],0.0515628184302108,[2.],[123.84476166]
0.27774505688730133,[[0.01885446]],0.027360873094826148,[2.67733372],[6.96220318]
