AU06_r,sigmas,pis,as,bs
0.21844749375116612,[[0.01698055]],0.06821237684529728,[2.],[7.15551818]
0.015583915662163729,[[0.00021746]],0.050175265076500775,[2.],[126.33745019]
0.0010737976000638125,[[0.00010016]],0.32220767951987,[2.],[1860.54839821]
0.17234392325470085,[[0.01142092]],0.07484166464453737,[2.],[9.60470275]
0.16631447898077786,[[0.01074258]],0.077765990778573,[2.],[10.02541121]
0.23109425040504072,[[0.00537791]],0.08984434450528117,[7.40441848],[24.63626823]
0.27280914304646914,[[0.02219979]],0.06267650443049201,[2.16509965],[5.77121666]
0.2927508787301334,[[0.02203615]],0.06072351598323431,[2.45788501],[5.93793951]
0.09433338742419523,[[0.00395658]],0.1935526582162141,[2.],[19.20140127]
