AU06_r,sigmas,pis,as,bs
0.201463565479867,[[0.01479863]],0.09326328832317804,[2.],[7.92735334]
0.0010741476033971206,[[0.00010017]],0.32228620337019237,[2.],[1859.9415001]
0.21981910313150582,[[0.01703821]],0.042352013589209425,[2.],[7.09839032]
0.20071983126963683,[[0.01470917]],0.09961001799224166,[2.],[7.96413751]
0.5253805391128445,[[0.00867095]],0.011823638598431723,[14.58331631],[13.1743093]
0.24322980352319543,[[0.00549629]],0.05834101630994045,[7.90246223],[24.58723316]
0.2170755180714297,[[0.01670028]],0.04383021437834292,[2.],[7.21338352]
0.24528703292363344,[[0.00657481]],0.024666301460767537,[6.66105135],[20.4950982]
0.1009407977158316,[[0.0044855]],0.2055358864739799,[2.],[17.81359416]
0.016180817089813355,[[0.00022778]],0.05276849233445192,[2.],[121.60315236]
0.2141961273888085,[[0.0163466]],0.04552292716926421,[2.],[7.33723697]
