AU06_r,sigmas,pis,as,bs
0.015587254932237397,[[0.00021765]],0.04995354504840347,[2.],[126.30995635]
0.2501058234897908,[[0.0184202]],0.022980030979017463,[2.29645001],[6.8854634]
0.2885099440716114,[[0.01834558]],0.013276774147973094,[2.9396799],[7.24950063]
0.1772568002737802,[[0.01194894]],0.11356096896552725,[2.],[9.283065]
0.23649359562360858,[[0.00760097]],0.14460591022200306,[5.38151655],[17.3739265]
0.22239218948426795,[[0.01734651]],0.034515081016165246,[2.],[6.99312159]
0.22784578945363787,[[0.01802213]],0.030498391194360305,[2.],[6.77786684]
0.5212052187103845,[[0.00851571]],0.012993549744348461,[14.75256078],[13.55214579]
0.09553704883109536,[[0.00405997]],0.2161816991600715,[2.],[18.93428701]
0.0010738300839960814,[[0.00010016]],0.3222140637511882,[2.],[1860.49205513]
0.22122795335100942,[[0.01720258]],0.03921998577094189,[2.],[7.04044887]
