AU06_r,sigmas,pis,as,bs
0.22571433946312633,[[0.01261996]],0.012261074769011565,[2.90008919],[9.94840416]
0.1835003793212771,[[0.01262175]],0.12974764758840837,[2.],[8.89916003]
0.21556939858352245,[[0.01141637]],0.05165815520367619,[2.9774426],[10.83454843]
0.014402130658528672,[[0.00019908]],0.04301831669258312,[2.],[136.8683416]
0.0010734248447747043,[[0.00010016]],0.32211136531332174,[2.],[1861.19518291]
0.5413426811184834,[[0.00770354]],0.002207589812636765,[16.90652429],[14.3242005]
0.2037912092493651,[[0.01296645]],0.10637411536758803,[2.34642384],[9.16743807]
0.05717483112039452,[[0.00158999]],0.08596321689230571,[2.],[32.98042689]
0.18798061061714796,[[0.01314124]],0.10642544788148704,[2.],[8.63939517]
0.5448008907071256,[[0.00766041]],0.00990329797522201,[17.0922207],[14.28111402]
0.18330883316968707,[[0.01259968]],0.13032977250375938,[2.],[8.91054896]
