AU06_r,sigmas,pis,as,bs
0.22225779158963593,[[0.01036053]],0.08918626928632062,[3.48598068],[12.19842189]
0.0010733956488616035,[[0.00010016]],0.3221036119711156,[2.],[1861.24586104]
0.5395637804578154,[[0.00786185]],0.012512782513941216,[16.51067372],[14.08936712]
0.17504645924988937,[[0.01167822]],0.13962334787802508,[2.],[9.42553816]
0.1963899436495325,[[0.01415348]],0.13162032248843042,[2.],[8.18382084]
0.17590439920485582,[[0.01177487]],0.13975234968933972,[2.],[9.36981229]
0.2300340795648434,[[0.01638395]],0.021754641754434586,[2.25674483],[7.55373557]
0.05832946211436166,[[0.00164722]],0.08724971584558697,[2.],[32.28798977]
0.014354389526585042,[[0.00019832]],0.04279132356439575,[2.],[137.33020253]
0.24300084178239126,[[0.01660239]],0.013405635008410036,[2.44940309],[7.63041011]
