AU06_r,sigmas,pis,as,bs
0.19190801221871165,[[0.01360693]],0.11993707607948847,[2.],[8.42165972]
0.014011129548650334,[[0.00019346]],0.040036961504530164,[2.],[140.74366624]
0.0010733998546443254,[[0.00010016]],0.32209840732975625,[2.],[1861.23856049]
0.18197515708960954,[[0.01245471]],0.16333757493577783,[2.],[8.99051119]
0.17404674053011557,[[0.01155861]],0.19795621943926792,[2.],[9.49116607]
0.23359256425292196,[[0.01669562]],0.025591902428556426,[2.27121923],[7.45177534]
0.5547731411812583,[[0.00703715]],0.00934772853147124,[18.91743188],[15.18196926]
0.04757853192712573,[[0.00114228]],0.06371952246332332,[2.],[40.03576527]
0.24192635349016564,[[0.01660602]],0.02009387417040227,[2.42992423],[7.61414165]
0.2270271985986923,[[0.01663757]],0.03788073311742609,[2.16755623],[7.38000568]
