AU06_r,sigmas,pis,as,bs
0.0010912784691411133,[[0.00010021]],0.30198636103056986,[2.],[1830.71278281]
0.20234955091500004,[[0.0149366]],0.1940442521076977,[2.],[7.88388653]
0.01578981278454479,[[0.00022329]],0.05891486216249864,[2.],[124.66394639]
0.3192008643270835,[[0.02317461]],0.007004110709205606,[2.67399193],[5.70315308]
0.25003362319414385,[[0.00476465]],0.058370485045259685,[9.59024585],[28.76557896]
0.10563192361441699,[[0.00486683]],0.2305556756825532,[2.],[16.93367016]
0.23345297610926646,[[0.01881172]],0.1491242532622153,[2.],[6.56703578]
