AU06_r,sigmas,pis,as,bs
0.09538105354146524,[[0.00404897]],0.15147537487782337,[2.],[18.96852494]
0.28569341443019974,[[0.01843721]],0.02217150578069317,[2.87651015],[7.19201086]
0.015697183437315,[[0.00021948]],0.05051319759756556,[2.],[125.4113925]
0.23988010631546472,[[0.00761121]],0.1686462138443434,[5.50679754],[17.44966027]
0.0010738815535433635,[[0.00010016]],0.32222601412595236,[2.],[1860.40278865]
0.44099739562536594,[[0.01380535]],0.00827843775175908,[7.43378457],[9.42296933]
0.3950850872046996,[[0.0163255]],0.008554192715736226,[5.3886601],[8.25057933]
0.20627536722557863,[[0.0153748]],0.1137347255700813,[2.],[7.69577719]
0.5176252497429723,[[0.00872843]],0.010040095340636131,[14.28978478],[13.31664436]
0.12256415875725249,[[0.00632956]],0.14436024239540943,[2.],[14.31798415]
