AU06_r,AU12_r,sigmas,pis,as,bs
0.13076903984382685,0.14892165543382901,"[[ 0.00742717  0.00139807]
 [ 0.00139807  0.00842675]]",0.46086971619423883,[ 2.          2.09096054],[ 13.29413998  11.9497143 ]
0.10166327197189234,0.0013051308614215908,"[[  6.98281206e-03  -5.11121928e-06]
 [ -5.11121928e-06   1.00846775e-04]]",0.06974052594085255,[ 2.  2.],[   17.67278803  1530.41338407]
0.34004477235440955,0.4052747322208448,"[[ 0.01432537  0.00966436]
 [ 0.00966436  0.02412438]]",0.14124732753134675,[ 4.98693162  3.64383259],[ 9.67858312  5.34718585]
0.0010620984975829714,0.00110127195011522,"[[  1.00192210e-04   2.44308470e-09]
 [  2.44308470e-09   1.00285041e-04]]",0.18876506794070663,[ 2.  2.],[ 1881.06452231  1814.08184953]
0.0012124260425153105,0.08619082226540371,"[[  1.00592526e-04   1.28965730e-06]
 [  1.28965730e-06   4.49082223e-03]]",0.13937736239285511,[ 2.  2.],[ 1647.58515395    21.20432672]
