,AU06_r,AU12_r
1024,1.8639400000000002,0.847499
1124,1.2515100000000001,0.634813
1224,0.794515,0.505483
1324,1.6216700000000002,0.9331430000000001
1424,0.510568,0.227858
1524,0.878552,0.872833
1624,2.55439,2.75489
1724,1.12838,0.6764479999999999
1824,1.5083,0.940842
1924,1.84171,0.864535
2024,2.58443,1.95623
2124,2.31459,1.6449200000000002
2224,1.8471,1.7367
2324,3.10073,2.80776
2424,2.7838700000000003,1.68977
2524,2.08081,1.5762200000000002
2624,2.4596400000000003,2.79183
2724,2.1732299999999998,1.4392
2824,2.3137,1.4663700000000002
2924,0.84046,0.0
3024,1.00447,0.828624
3124,0.97211,0.468413
3224,0.458499,0.0
3324,0.9270430000000001,0.059738599999999996
3424,0.811854,0.0943558
3524,0.859843,0.577006
3624,0.44913500000000006,0.357308
3724,0.15096700000000002,0.0
3824,0.104032,0.318288
3924,0.691501,0.265315
4024,0.271356,0.17288399999999998
4124,0.102228,0.0
4224,1.02643,0.22783499999999998
4324,1.57565,1.13188
4424,0.20601999999999998,0.0
4524,0.35293800000000003,0.0
4624,0.788489,0.06499819999999999
4724,0.45603699999999997,0.0
4824,1.32246,0.265993
4924,0.634288,0.0
5024,0.335442,0.158393
5124,0.618035,0.252201
5224,0.560366,0.15352000000000002
5324,1.13089,0.41499300000000006
41,0.0,0.0
141,1.0590000000000002,0.5053479999999999
241,0.519532,0.12260599999999999
341,0.781018,0.019881299999999998
441,0.0,0.0
541,0.20496799999999998,0.0
641,0.0,0.0
741,0.0,0.0
841,0.0,0.0
941,0.0,0.0
1041,1.41163,0.813771
1141,1.00304,0.7976270000000001
1241,1.18428,0.7828510000000001
1341,1.36905,1.03035
1441,1.00239,0.573377
1541,0.9175629999999999,0.8506879999999999
1641,0.978543,0.629043
1741,1.0046899999999999,0.62936
1841,1.15564,0.714359
1941,1.8071,1.19462
2041,1.53782,0.9564
2141,1.13114,0.490854
2241,1.0266600000000001,0.392205
2341,1.5418399999999999,0.585368
2441,1.37224,0.93591
2541,1.3696,0.653235
2641,1.3583399999999999,0.659872
2741,1.2408,0.472948
2841,0.9445879999999999,0.42008999999999996
2941,1.3402100000000001,0.7991659999999999
3041,1.1243,0.49512799999999996
3141,1.65674,0.7081609999999999
3241,0.866183,0.458822
3341,0.0,0.0
3441,0.982318,0.540954
3541,1.2829700000000002,0.764357
3641,0.9309069999999999,0.47624799999999995
3741,0.9737959999999999,0.320407
3841,0.952989,0.24374899999999997
3941,1.0668,0.325227
4041,1.0091700000000001,0.113898
4141,0.859914,0.269484
4241,1.54829,0.778933
4341,1.228,0.519256
4441,1.6756,1.0410700000000002
4541,1.0943,0.41362600000000005
4641,1.14162,0.37581
4741,1.58628,0.730765
4841,0.943723,0.38350300000000004
4941,0.9032479999999999,0.26674200000000003
5041,1.2665899999999999,0.525609
5141,0.890805,0.240862
5241,1.4304700000000001,0.598906
5341,0.76839,0.370962
5441,1.76405,0.850517
5541,0.96695,0.36277600000000004
5641,0.919832,0.298749
5741,1.10615,0.13966099999999998
5841,0.9069940000000001,0.236256
5941,1.33187,0.498287
36,1.34748,2.22575
136,0.5246850000000001,0.156342
236,0.495112,0.224435
336,0.518352,0.70997
436,0.8722270000000001,0.869434
536,0.744472,0.5104529999999999
636,0.245204,0.049393099999999995
736,0.254877,0.508402
836,0.5925060000000001,0.5573899999999999
936,0.466764,0.316422
1036,0.617187,0.700333
1136,0.315112,0.361793
1236,3.48509,2.9410000000000003
1336,1.9073200000000001,1.5630600000000001
1436,0.341902,0.35772800000000005
1536,0.836932,0.809075
1636,1.14499,0.8498379999999999
1736,0.8234899999999999,0.731923
1836,2.10577,2.3216799999999997
1936,0.981251,0.9937360000000001
2036,0.36557199999999995,0.641001
2136,0.43290100000000004,0.449963
2236,0.44918500000000006,0.48441899999999993
2336,0.6105189999999999,0.0769977
2436,0.966176,0.696715
2536,0.674254,0.537503
2636,0.657568,0.44568599999999997
2736,0.613506,0.178564
2836,1.3489799999999998,0.7616890000000001
2936,0.8159810000000001,0.28476999999999997
3036,1.30823,0.6469699999999999
3136,0.93253,0.37041
3236,0.940017,0.414654
3336,0.965158,0.442216
3436,1.6064399999999999,1.0290000000000001
3536,0.9937809999999999,0.33760999999999997
3636,1.04532,0.40331300000000003
3736,1.0929799999999998,0.379332
3836,0.8763190000000001,0.224417
3936,1.24911,0.630074
4036,0.757526,0.308349
4136,1.41004,0.939634
4236,0.9908290000000001,0.385745
4336,0.650211,0.0
4436,1.10512,0.52336
4536,1.0081799999999999,0.484058
4636,1.26776,1.10855
4736,0.704381,0.49533299999999997
4836,1.2261600000000001,0.337287
4936,0.9419190000000001,0.627384
5036,0.8027350000000001,0.611742
5136,1.22517,0.396325
5236,0.807381,0.584539
5336,0.844893,0.262811
5436,1.32913,1.39888
5536,0.8215040000000001,0.177899
27,0.0,0.41339
127,0.0,0.784704
227,0.0,0.5597409999999999
327,0.0,0.486122
427,0.0,0.525817
527,0.0,0.5170520000000001
627,0.0,0.555501
727,0.0,0.460854
827,0.0,0.42256000000000005
927,0.0,0.5143
1027,0.0,0.395301
1127,0.0,0.300381
1227,0.0,0.322918
1327,0.0,0.528983
1427,0.0,0.441187
1527,0.0,0.335045
1627,0.0,0.68628
1727,0.0,0.713385
1827,0.0,0.6172300000000001
1927,0.0,0.5707270000000001
2027,0.0,0.342939
2127,0.0,0.517776
2227,0.0,0.157589
2327,0.0,0.726178
2427,0.0,0.437162
2527,0.0,0.45891499999999996
2627,0.0,0.6238819999999999
2727,0.0,0.5676100000000001
2827,0.0,0.325571
2927,0.0,0.510029
3027,0.0,0.715538
3127,0.0,0.451158
3227,0.0,0.46149300000000004
3327,0.0,0.583372
3427,0.0,0.58344
3527,0.0,0.270897
3627,0.0,0.891091
3727,0.0,0.616167
3827,0.0,0.292075
3927,0.0,0.5840029999999999
4027,0.0,0.270486
4127,0.0,0.274187
4227,0.0,0.259685
4327,0.0,0.242554
4427,0.0,0.15773
4527,0.0,0.37387
4627,0.0,0.29073699999999997
4727,0.0,0.14865499999999998
4827,0.0,0.21636799999999998
4927,0.0,0.148083
5027,0.0,0.372152
5127,0.0,0.616556
5227,0.0,0.251112
5327,0.0,0.635903
5427,0.0,0.449166
5527,0.0,0.45215600000000006
77,0.0,0.0
177,0.0,0.0
277,0.0,0.0
377,0.0,0.0
477,0.0,0.0
577,0.9242819999999999,0.420415
677,0.548467,0.299273
777,0.0,0.0
877,0.0,0.0
977,0.0,0.0
1077,0.012512,0.0
1177,0.0,0.0
1277,0.0,0.0
1377,0.0,0.0
1477,0.0,0.0
1577,0.0,0.0
1677,0.0,0.0
1777,0.0244498,0.0
1877,0.372529,0.13475499999999999
1977,0.22430100000000003,0.136504
2077,0.47408,0.301295
2177,0.0,0.0
2277,0.47771899999999995,0.342763
2377,0.23830199999999999,0.20595300000000002
2477,0.0,0.0
2577,0.0,0.00410952
2677,0.0,0.0
2777,0.0,0.0
2877,0.409238,0.47175600000000006
2977,0.0635663,0.0
3077,0.021488,0.0
3177,0.0,0.0
3277,0.0,0.0
3377,0.293848,0.11073800000000002
3477,0.45107200000000003,0.251816
3577,0.47650699999999996,0.151696
3677,0.0,0.0
3777,0.0184513,0.0
3877,0.0,0.0
3977,0.0,0.0
4077,0.0,0.0
4177,0.0382319,0.0
4277,0.0,0.0
4377,0.0,0.0
4477,0.14733800000000002,0.0
4577,0.0,0.0
4677,0.0,0.0
4777,0.0,0.0
4877,0.211011,0.0
4977,0.0,0.0
5077,0.0,0.0
5177,0.0,0.0
5277,0.0,0.0
5377,0.0,0.0
5477,0.0,0.0
10,0.0,0.0
110,0.0,0.040747900000000004
210,0.242342,0.0121182
310,0.789253,0.302225
410,1.35455,1.0883
510,0.844103,0.8084180000000001
610,0.5048229999999999,0.616726
710,0.540269,0.700769
810,0.389822,0.8277690000000001
910,0.246378,0.33579699999999996
1010,0.550763,0.312112
1110,0.6099720000000001,0.66577
1210,1.00504,1.18877
1310,0.853358,1.03764
1410,0.913618,0.8878879999999999
1510,0.458951,0.498234
1610,0.569553,0.254576
1710,0.8869870000000001,0.6898479999999999
1810,2.6876900000000004,2.52006
1910,2.0615099999999997,1.5327
2010,1.18717,0.980404
2110,1.35669,1.28179
2210,1.11951,0.813649
2310,0.8822120000000001,0.757926
2410,0.673273,0.33546
2510,1.96602,1.93787
2610,0.76127,0.7702680000000001
2710,1.7750400000000002,1.1245
2810,1.08538,0.499417
2910,0.861417,0.45841899999999997
3010,0.677705,0.370634
3110,2.63537,1.94003
3210,1.87654,1.70127
3310,0.05388,0.0856568
3410,2.4847900000000003,2.02087
3510,1.31476,2.6165700000000003
3610,1.9123299999999999,1.71735
3710,0.785013,0.5524319999999999
3810,2.23382,1.98065
3910,1.01239,1.03095
4010,1.1463700000000001,1.48351
4110,1.38047,0.968218
4210,3.29043,3.1505799999999997
4310,1.16701,1.00079
4410,1.4134,1.38515
4510,0.5633630000000001,0.8766950000000001
4610,1.04568,0.618715
4710,1.75364,0.644737
4810,2.05858,1.5748
4910,1.251,0.572435
5010,1.37434,1.1796
5110,0.0,0.0
5210,1.04796,0.439933
5310,0.448478,0.0
5410,1.286,0.0
5510,1.40313,0.692484
5610,1.96727,1.35575
85,0.348136,0.0
185,0.0,0.0
285,0.0,0.0
385,0.684124,0.42818999999999996
485,0.0,0.0
585,0.0,0.0
685,1.28728,0.713063
785,0.320913,0.404537
885,0.0,0.0342449
985,0.0,0.17615
1085,0.1044,0.22837
1185,0.00154232,0.255185
1285,1.36589,1.19103
1385,0.110648,0.80395
1485,0.938212,1.18608
1585,0.502563,0.8750040000000001
1685,1.15686,1.85267
1785,0.115848,0.379179
1885,0.0248637,0.190477
1985,0.173497,0.433908
2085,0.24731999999999998,0.42800900000000003
2185,0.0,0.294137
2285,0.0,0.0
2385,0.0,0.184053
2485,0.8274889999999999,1.0296100000000001
2585,0.0101429,0.386585
2685,0.545694,0.709924
2785,3.27825,3.15442
2885,0.162128,0.344566
2985,0.600598,0.460937
3085,0.579349,0.322177
3185,1.2756,0.8155819999999999
3285,0.804534,0.441117
3385,0.333127,0.43040600000000007
3485,0.0,0.0
3585,0.366667,0.6652
3685,0.0335515,0.0
3785,0.0,0.0
3885,0.31559,0.24044400000000002
3985,0.0,0.10975599999999999
4085,0.0,0.58413
4185,0.0,0.213594
4285,0.0,0.181525
4385,0.0399265,0.0
4485,0.0,0.0
4585,0.318044,0.0286714
4685,0.492983,0.8183739999999999
4785,2.61151,2.7996
4885,0.994733,0.746783
4985,0.541285,0.11798499999999999
5085,0.0,0.305948
5185,0.0,0.0
5285,0.0,0.343886
6,0.0,0.0
106,0.305586,0.273469
206,0.0,0.0
306,0.0,0.0
406,0.0,0.0
506,0.0,0.0
606,0.9961909999999999,1.0388600000000001
706,1.2462799999999998,1.15736
806,1.34618,0.813405
906,0.9858610000000001,0.341577
1006,0.0,0.0
1106,2.00006,1.8807
1206,1.1555600000000001,0.6294390000000001
1306,0.9794799999999999,1.0675299999999999
1406,0.7638020000000001,0.678423
1506,0.0,0.0
1606,1.48031,1.09722
1706,0.949154,0.614356
1806,0.0,0.0
1906,0.0,0.0
2006,1.1375899999999999,0.49806300000000003
2106,0.0,0.0
2206,1.66386,1.22108
2306,1.53644,1.5068
2406,0.0,0.0
2506,1.00873,1.74373
2606,2.47827,3.01959
2706,0.808394,0.847621
2806,0.0,0.0
2906,1.83666,0.894956
3006,2.42313,0.784543
3106,2.51328,0.777746
3206,2.37422,0.510733
3306,0.723209,0.9157379999999999
3406,0.0,0.0
3506,0.0,0.0
3606,0.0,0.0
3706,0.0,0.0
3806,0.0,0.0
3906,0.0,0.0
4006,0.862433,0.8400200000000001
4106,0.556185,1.01242
4206,0.45020699999999997,0.703324
4306,0.7060850000000001,0.507093
4406,0.392592,0.646573
4506,0.839417,0.808613
4606,1.2526700000000002,0.733858
4706,1.3603299999999998,1.50639
4806,1.2102,1.0438
4906,1.45195,1.2731299999999999
5006,1.8023900000000002,2.0102599999999997
5106,1.38541,1.23064
5206,1.06425,0.665452
5306,1.10012,0.8946200000000001
5406,1.1900600000000001,0.548625
5506,1.65238,0.785832
5606,2.27037,3.6587300000000003
71,2.62929,3.3081099999999997
171,1.02521,2.13917
271,0.23444,1.1953
371,0.269486,0.9164129999999999
471,0.0710702,0.872333
571,0.4631,0.938689
671,0.175098,0.906206
771,0.21839299999999998,1.3979
871,0.5904020000000001,1.10386
971,0.982549,1.8663299999999998
1071,0.652012,1.0847200000000001
1171,0.578741,1.26867
1271,1.0255,1.36568
1371,0.48595900000000003,1.45443
1471,0.48091300000000003,0.994296
1571,0.730917,0.898385
1671,0.444509,0.994917
1771,0.5880920000000001,0.9460379999999999
1871,0.853584,1.4604700000000002
1971,0.48756400000000005,1.0305600000000001
2071,0.36071,1.02829
2171,0.894951,1.02413
2271,0.809388,1.2456200000000002
2371,0.7087399999999999,1.4425700000000001
2471,0.33947,1.01601
2571,0.840683,1.31598
2671,0.8695370000000001,1.12335
2771,0.622973,1.11985
2871,0.454854,1.31342
2971,0.690874,1.40934
3071,1.10233,1.49575
3171,0.703134,1.74007
3271,1.3923,1.6851599999999998
3371,1.09036,1.59836
3471,1.17519,1.49563
3571,0.742649,1.32025
3671,1.089,1.51655
3771,0.862078,0.959199
3871,0.663886,1.20791
3971,1.24024,1.49373
4071,0.8836620000000001,1.48255
4171,1.0574700000000001,1.4994299999999998
4271,0.660438,1.4805
4371,0.9914139999999999,1.5233299999999999
4471,0.8964770000000001,1.6521299999999999
4571,0.691018,1.61828
4671,1.15438,1.8276599999999998
4771,0.982117,1.46584
4871,1.29712,1.89326
4971,1.1725700000000001,1.18118
5071,0.642049,1.6444
15,0.0,0.0
115,0.0693157,0.319212
215,0.0,0.0
315,0.0,0.0
415,0.0,0.0
515,0.0,0.0
615,0.0,0.0
715,0.0,0.0
815,0.173265,0.0426922
915,0.0,0.0
1015,0.321454,0.26661999999999997
1115,0.055005700000000005,0.0402533
1215,0.0,0.0
1315,0.067112,0.370629
1415,0.0,0.0
1515,0.0,0.0
1615,0.0,0.0
1715,0.0,0.0
1815,0.0,0.0
1915,0.0,0.0
2015,0.0,0.0
2115,0.0,0.0
2215,0.0859456,0.0
2315,0.0,0.0
2415,0.0,0.0
2515,0.0,0.0252617
2615,0.0,0.0
2715,0.0,0.0
2815,0.0,0.0
2915,0.0,0.0
3015,0.0,0.0
3115,0.0,0.0
3215,0.0,0.0
3315,0.0,0.0
3415,0.0,0.0
3515,0.10066699999999999,0.00211117
3615,0.11241400000000001,0.0
3715,0.0,0.0
3815,0.0,0.0
3915,0.0,0.0
4015,0.0,0.0
4115,0.034726099999999996,0.0
4215,0.847941,0.389266
4315,0.148242,0.10195499999999999
4415,0.0,0.0
4515,0.0,0.0
4615,0.0,0.0
4715,0.0,0.0
4815,0.0,0.0
4915,0.0,0.0
5015,0.0,0.0
5115,0.0,0.0
5215,0.0,0.0
28,0.0,0.0
128,0.0,0.0
228,0.0,0.0
328,0.0,0.09853150000000001
428,0.0,0.22193600000000002
528,0.0,0.13196300000000002
628,0.0,0.211356
728,0.146673,0.228846
828,0.0,0.111507
928,0.610703,0.772634
1028,0.353902,0.62626
1128,0.374053,0.509085
1228,0.924062,1.6883099999999998
1328,0.24293299999999998,0.359065
1428,0.0,0.19208699999999998
1528,0.0,0.0
1628,0.0,0.0
1728,0.0,0.0
1828,0.0,0.0
1928,0.0,0.241142
2028,0.0,0.0428575
2128,0.23846799999999999,0.8897219999999999
2228,0.0,0.42572200000000004
2328,0.0,0.0
2428,0.0,0.250827
2528,0.0,0.0
2628,0.0,0.0
2728,0.0,0.0
2828,0.0,0.00382451
2928,0.0,0.366871
3028,0.0,0.10766099999999999
3128,0.0,0.0
3228,0.0,0.0
3328,0.413371,0.500045
3428,0.00313969,0.013727200000000002
3528,0.0,0.0831977
3628,0.0,0.093569
3728,0.0,0.43442
3828,0.0,0.0
3928,0.616687,0.423509
4028,0.0172526,0.511981
4128,0.0,0.000335258
4228,0.00735946,0.048887900000000005
4328,0.0,0.0
4428,0.0,0.0
4528,0.0,0.0
4628,0.0,0.12625899999999998
4728,0.0579174,0.78593
4828,0.0,0.13988299999999998
4928,0.0,0.12856900000000002
5028,0.0,0.0
5128,0.0,0.0
5228,0.0,0.0
5328,0.0,0.618028
72,0.117422,0.581855
172,0.042818,0.848088
272,0.0,0.321071
372,0.363167,0.5199779999999999
472,0.42115,0.07607439999999999
572,0.0,0.25597
672,0.25145100000000004,0.464476
772,0.19961800000000002,0.603662
872,0.09062610000000001,0.368089
972,0.507017,0.361031
1072,1.16021,1.13535
1172,2.24785,2.8985
1272,0.90118,1.4677200000000001
1372,1.27368,1.4103
1472,0.986975,1.60775
1572,0.398428,1.23555
1672,0.51044,1.2997100000000001
1772,0.5521699999999999,1.0713700000000002
1872,0.48778,1.02662
1972,0.44852,0.9299290000000001
2072,0.795149,1.06213
2172,0.704063,1.0872899999999999
2272,0.656521,0.8804850000000001
2372,0.627267,0.944766
2472,0.879033,1.1844299999999999
2572,0.660516,0.948449
2672,0.747613,0.8557549999999999
2772,0.5889840000000001,0.9273889999999999
2872,0.693563,0.7956949999999999
2972,0.791611,1.117
3072,0.640506,1.11353
3172,0.660181,0.8265440000000001
3272,0.825154,0.8240700000000001
3372,0.721528,1.12855
3472,0.840968,1.06049
3572,0.8259719999999999,0.9030950000000001
3672,0.741628,0.97724
3772,0.05725790000000001,0.9090860000000001
3872,0.665387,0.9381639999999999
3972,0.888393,0.852605
4072,0.842599,1.0259
4172,0.587241,0.783745
4272,0.45625,1.13783
4372,0.748256,1.01415
4472,0.665834,0.814872
4572,1.8679700000000001,2.41903
4672,0.501169,0.863708
4772,0.907594,1.10337
4872,0.472358,0.786972
4972,0.6805140000000001,1.06477
5072,0.580846,0.526505
5172,1.53346,2.11896
5272,0.743151,1.23491
5372,0.278061,0.5947560000000001
85,0.540833,1.18908
185,0.7556729999999999,1.16931
285,0.0,0.0
385,0.0,0.0
485,0.0,0.0
585,0.0,0.0
685,1.1209,1.10575
785,0.296185,0.49281
885,0.522764,0.425835
985,0.00669431,0.536998
1085,1.8105099999999998,2.49938
1185,0.19288,0.382575
1285,1.42658,2.90125
1385,1.9649299999999998,2.78878
1485,0.316278,0.7808729999999999
1585,1.08385,0.900898
1685,0.21412399999999998,0.598328
1785,0.0154281,0.06427619999999999
1885,0.47647399999999995,0.44254799999999994
1985,0.013344299999999998,0.0552823
2085,0.0,0.0476654
2185,0.18351800000000001,0.372269
2285,0.0335369,0.0174033
2385,0.00178371,0.020115900000000003
